,episodes,reward
997,199,11.0
998,199,14.0
999,199,13.0
1000,200,23.0
1001,200,9.0
1002,200,11.0
1003,200,20.0
1004,200,16.0
1005,201,17.0
1006,201,26.0
1007,201,17.0
1008,201,36.0
1009,201,11.0
1010,202,17.0
1011,202,15.0
1012,202,19.0
1013,202,47.0
1014,202,12.0
1015,203,25.0
1016,203,8.0
1017,203,14.0
1018,203,34.0
1019,203,17.0
1020,204,16.0
1021,204,9.0
1022,204,13.0
1023,204,20.0
1024,204,10.0
1025,205,9.0
1026,205,13.0
1027,205,16.0
1028,205,13.0
1029,205,28.0
1030,206,13.0
1031,206,20.0
1032,206,8.0
1033,206,10.0
1034,206,36.0
1035,207,20.0
1036,207,11.0
1037,207,8.0
1038,207,11.0
1039,207,28.0
1040,208,15.0
1041,208,7.0
1042,208,22.0
1043,208,22.0
1044,208,21.0
1045,209,20.0
1046,209,8.0
1047,209,16.0
1048,209,8.0
1049,209,11.0
1050,210,17.0
1051,210,19.0
1052,210,48.0
1053,210,9.0
1054,210,12.0
1055,211,10.0
1056,211,8.0
1057,211,10.0
1058,211,17.0
1059,211,35.0
1060,212,16.0
1061,212,5.0
1062,212,13.0
1063,212,8.0
1064,212,25.0
1065,213,21.0
1066,213,9.0
1067,213,16.0
1068,213,9.0
1069,213,47.0
1070,214,24.0
1071,214,15.0
1072,214,38.0
1073,214,13.0
1074,214,25.0
1075,215,22.0
1076,215,17.0
1077,215,14.0
1078,215,10.0
1079,215,29.0
1080,216,11.0
1081,216,24.0
1082,216,5.0
1083,216,6.0
1084,216,14.0
1085,217,17.0
1086,217,11.0
1087,217,8.0
1088,217,9.0
1089,217,8.0
1090,218,8.0
1091,218,10.0
1092,218,8.0
1093,218,22.0
1094,218,16.0
1095,219,30.0
1096,219,24.0
1097,219,17.0
1098,219,20.0
1099,219,26.0
1100,220,13.0
1101,220,26.0
1102,220,16.0
1103,220,11.0
1104,220,27.0
1105,221,13.0
1106,221,16.0
1107,221,9.0
1108,221,43.0
1109,221,35.0
1110,222,8.0
1111,222,7.0
1112,222,30.0
1113,222,20.0
1114,222,30.0
1115,223,21.0
1116,223,23.0
1117,223,10.0
1118,223,11.0
1119,223,36.0
1120,224,9.0
1121,224,25.0
1122,224,34.0
1123,224,21.0
1124,224,23.0
1125,225,30.0
1126,225,8.0
1127,225,7.0
1128,225,9.0
1129,225,10.0
1130,226,13.0
1131,226,13.0
1132,226,44.0
1133,226,18.0
1134,226,12.0
1135,227,19.0
1136,227,6.0
1137,227,8.0
1138,227,43.0
1139,227,12.0
1140,228,18.0
1141,228,5.0
1142,228,20.0
1143,228,24.0
1144,228,7.0
1145,229,10.0
1146,229,22.0
1147,229,10.0
1148,229,11.0
1149,229,12.0
1150,230,36.0
1151,230,8.0
1152,230,10.0
1153,230,17.0
1154,230,28.0
1155,231,15.0
1156,231,12.0
1157,231,24.0
1158,231,14.0
1159,231,37.0
1160,232,11.0
1161,232,13.0
1162,232,6.0
1163,232,20.0
1164,232,16.0
1165,233,10.0
1166,233,6.0
1167,233,12.0
1168,233,49.0
1169,233,33.0
1170,234,21.0
1171,234,10.0
1172,234,18.0
1173,234,5.0
1174,234,30.0
1175,235,16.0
1176,235,16.0
1177,235,57.0
1178,235,22.0
1179,235,19.0
1180,236,16.0
1181,236,14.0
1182,236,8.0
1183,236,17.0
1184,236,21.0
1185,237,13.0
1186,237,24.0
1187,237,10.0
1188,237,10.0
1189,237,8.0
1190,238,16.0
1191,238,6.0
1192,238,10.0
1193,238,13.0
1194,238,29.0
1195,239,7.0
1196,239,12.0
1197,239,26.0
1198,239,12.0
1199,239,23.0
1200,240,10.0
1201,240,11.0
1202,240,26.0
1203,240,11.0
1204,240,23.0
1205,241,13.0
1206,241,25.0
1207,241,13.0
1208,241,29.0
1209,241,57.0
1210,242,17.0
1211,242,9.0
1212,242,27.0
1213,242,26.0
1214,242,19.0
1215,243,35.0
1216,243,10.0
1217,243,6.0
1218,243,49.0
1219,243,58.0
1220,244,22.0
1221,244,7.0
1222,244,35.0
1223,244,24.0
1224,244,33.0
1225,245,52.0
1226,245,17.0
1227,245,17.0
1228,245,21.0
1229,245,31.0
1230,246,16.0
1231,246,23.0
1232,246,11.0
1233,246,8.0
1234,246,40.0
1235,247,18.0
1236,247,8.0
1237,247,6.0
1238,247,13.0
1239,247,23.0
1240,248,22.0
1241,248,8.0
1242,248,18.0
1243,248,9.0
1244,248,8.0
1245,249,30.0
1246,249,10.0
1247,249,11.0
1248,249,7.0
1249,249,19.0
1250,250,13.0
1251,250,8.0
1252,250,20.0
1253,250,44.0
1254,250,46.0
1255,251,37.0
1256,251,8.0
1257,251,23.0
1258,251,17.0
1259,251,17.0
1260,252,45.0
1261,252,8.0
1262,252,8.0
1263,252,15.0
1264,252,14.0
1265,253,43.0
1266,253,14.0
1267,253,7.0
1268,253,34.0
1269,253,27.0
1270,254,17.0
1271,254,13.0
1272,254,13.0
1273,254,31.0
1274,254,10.0
1275,255,47.0
1276,255,12.0
1277,255,18.0
1278,255,26.0
